book_authors,book_title,image_url,book_authors_init,book_title_init,keywords
suzanne_collins,the_hunger_games,https://images.gr-assets.com/books/1447303603l/2767052.jpg,Suzanne Collins,The Hunger Games,suzanne_collins representative katniss katniss hunger games katniss young sentence katniss
j.k._rowling mary_grandpré,harry_potter_and_the_order_of_the_phoenix,https://images.gr-assets.com/books/1255614970l/2.jpg,J.K. Rowling|Mary GrandPré,Harry Potter and the Order of the Phoenix,j.k._rowling mary_grandpré haunting harry terror harry harry pottter dreams corridor haunting
harper_lee,to_kill_a_mockingbird,https://images.gr-assets.com/books/1361975680l/2657.jpg,Harper Lee,To Kill a Mockingbird,harper_lee kill mockingbird mockingbird mockingbird takes mockingbird instant american literature
stephenie_meyer,twilight,https://images.gr-assets.com/books/1361039443l/41865.jpg,Stephenie Meyer,Twilight,stephenie_meyer edward vampire edward cullen cullen vampires love book twilight
markus_zusak,the_book_thief,https://images.gr-assets.com/books/1522157426l/19063.jpg,Markus Zusak,The Book Thief,markus_zusak german girl story liesel girl book young german liesel
c.s._lewis pauline_baynes,the_chronicles_of_narnia,https://images.gr-assets.com/books/1449868701l/11127.jpg,C.S. Lewis|Pauline Baynes,The Chronicles of Narnia,c.s._lewis pauline_baynes chronicles narnia narnia continue narnia transcended narnia past narnia
margaret_mitchell,gone_with_the_wind,https://images.gr-assets.com/books/1328025229l/18405.jpg,Margaret Mitchell,Gone with the Wind,margaret_mitchell wind novel gone wind wind novel story mitchell published
john_green,the_fault_in_our_stars,https://images.gr-assets.com/books/1360206420l/11870085.jpg,John Green,The Fault in Our Stars,john_green hazel story hazel years hazel group hazel augustus waters
douglas_adams,the_hitchhiker's_guide_to_the_galaxy,https://images.gr-assets.com/books/1388282444l/386162.jpg,Douglas Adams,The Hitchhiker's Guide to the Galaxy,douglas_adams hitchhiker galaxy interstellar hitchhiker hitchhiker hitchhiker guide guide galaxy
shel_silverstein,the_giving_tree,https://images.gr-assets.com/books/1174210942l/370493.jpg,Shel Silverstein,The Giving Tree,shel_silverstein tree loved story unforgettable tree happy tree gave shel silverstein
emily_brontë richard_j._dunn david_timson charlotte_brontë ruth_golding robert_heindel,wuthering_heights,https://images.gr-assets.com/books/1388212715l/6185.jpg,Emily Brontë|Richard J. Dunn|David Timson|Charlotte Brontë|Ruth Golding|Robert Heindel,Wuthering Heights,emily_brontë richard_j._dunn david_timson charlotte_brontë ruth_golding robert_heindel wuthering heights edition wuthering 1847 edition examines wuthering interpretations wuthering
dan_brown,the_da_vinci_code,https://images.gr-assets.com/books/1303252999l/968.jpg,Dan Brown,The Da Vinci Code,dan_brown vinci clues robert langdon vinci guarded da vinci vinci
arthur_golden,memoirs_of_a_geisha,https://images.gr-assets.com/books/1388367666l/930.jpg,Arthur Golden,Memoirs of a Geisha,arthur_golden geisha memoirs memoirs geisha geisha debut novel celebrated geisha
lewis_carroll john_tenniel martin_gardner,alice's_adventures_in_wonderland_&_through_the_looking-glass,https://images.gr-assets.com/books/1327872220l/24213.jpg,Lewis Carroll|John Tenniel|Martin Gardner,Alice's Adventures in Wonderland & Through the Looking-Glass,lewis_carroll john_tenniel martin_gardner stories alice alice adventures rabbit watch adventures wonderland alice sees
oscar_wilde jeffrey_eugenides,the_picture_of_dorian_gray,https://images.gr-assets.com/books/1424596966l/5297.jpg,Oscar Wilde|Jeffrey Eugenides,The Picture of Dorian Gray,oscar_wilde jeffrey_eugenides autobiography wilde wilde story moral dorian tale dorian 1890 wilde
victor_hugo lee_fahnestock norman_macafee,les_misérables,https://images.gr-assets.com/books/1525303092l/24280.jpg,Victor Hugo|Lee Fahnestock|Norman MacAfee,Les Misérables,victor_hugo lee_fahnestock norman_macafee persecution valjean jean valjean valjean noble victor hugo valjean inspector
veronica_roth,divergent,https://images.gr-assets.com/books/1328559506l/13335037.jpg,Veronica Roth,Divergent,veronica_roth follows beatrice beatrice decision beatrice lives beatrice beatrice renames
charlotte_brontë michael_mason,jane_eyre,https://images.gr-assets.com/books/1327867269l/10210.jpg,Charlotte Brontë|Michael Mason,Jane Eyre,charlotte_brontë michael_mason jane eyre eyre orphaned rochester hiding hiding jane eyre
william_shakespeare barbara_a._mowat paul_werstine,romeo_and_juliet,https://images.gr-assets.com/books/1327872146l/18135.jpg,William Shakespeare|Barbara A. Mowat|Paul Werstine,Romeo and Juliet,william_shakespeare barbara_a._mowat paul_werstine romeo juliet juliet family juliet juliet avoid killed romeo
william_golding,lord_of_the_flies,https://images.gr-assets.com/books/1327869409l/7624.jpg,William Golding,Lord of the Flies,william_golding innocence darkness night terror terror begins apocalypse lord hope adventure
paulo_coelho alan_r._clarke özdemir_i̇nce,the_alchemist,https://images.gr-assets.com/books/1483412266l/865.jpg,Paulo Coelho|Alan R. Clarke|Özdemir İnce,The Alchemist,paulo_coelho alan_r._clarke özdemir_i̇nce story santiago coelho masterpiece santiago journey paulo coelho imagined santiago
fyodor_dostoyevsky david_mcduff,crime_and_punishment,https://images.gr-assets.com/books/1382846449l/7144.jpg,Fyodor Dostoyevsky|David McDuff,Crime and Punishment,fyodor_dostoyevsky david_mcduff dostoevsky masterpieces dostoevsky drama known dostoevsky dostoevsky imaginations dostoevsky
orson_scott_card,ender's_game,https://images.gr-assets.com/books/1408303130l/375802.jpg,Orson Scott Card,Ender's Game,orson_scott_card ender wiggin brother ender andrew ender ender older utterly ender
stephen_chbosky,the_perks_of_being_a_wallflower,https://images.gr-assets.com/books/1520093244l/22628.jpg,Stephen Chbosky,The Perks of Being a Wallflower,stephen_chbosky wallflower charlie charlie learn run charlie charlie charts wallflower
cassandra_clare franca_fritz heinrich_koop franka_fritz,city_of_bones,https://images.gr-assets.com/books/1432730315l/256683.jpg,Cassandra Clare|Franca Fritz|Heinrich Koop|Franka Fritz,City of Bones,cassandra_clare franca_fritz heinrich_koop franka_fritz clary attacked clary mother did clary clary suddenly boy clary
kathryn_stockett,the_help,https://images.gr-assets.com/books/1346100365l/4667024.jpg,Kathryn Stockett,The Help,kathryn_stockett maid constantine black maid clandestine project constantine woman maid wise
f._scott_fitzgerald,the_great_gatsby,https://images.gr-assets.com/books/1490528560l/4671.jpg,F. Scott Fitzgerald,The Great Gatsby,f._scott_fitzgerald fitzgerald book gatsby gatsby love great gatsby gatsby scott
audrey_niffenegger,the_time_traveler's_wife,https://images.gr-assets.com/books/1380660571l/18619684.jpg,Audrey Niffenegger,The Time Traveler's Wife,audrey_niffenegger story clare clare marriage married clare clare henry time relationships
e.b._white garth_williams rosemary_wells,charlotte's_web,https://images.gr-assets.com/books/1439632243l/24178.jpg,E.B. White|Garth Williams|Rosemary Wells,Charlotte's Web,e.b._white garth_williams rosemary_wells beloved book book white children literature white newbery books harpercollins
l.m._montgomery,anne_of_green_gables,https://images.gr-assets.com/books/1390789015l/8127.jpg,L.M. Montgomery,Anne of Green Gables,l.m._montgomery green gables orphanage anne anne green anne shirley gables
john_steinbeck,of_mice_and_men,https://images.gr-assets.com/books/1511302904l/890.jpg,John Steinbeck,Of Mice and Men,john_steinbeck steinbeck steinbeck popular story outsiders novel broadway proved steinbeck
bram_stoker nina_auerbach david_j._skal,dracula,https://images.gr-assets.com/books/1387151694l/17245.jpg,Bram Stoker|Nina Auerbach|David J. Skal,Dracula,bram_stoker nina_auerbach david_j._skal novel dracula interpretations dracula inspirations dracula dracula reviews chapter dracula
aldous_huxley,brave_new_world,https://images.gr-assets.com/books/1523061131l/5129.jpg,Aldous Huxley,Brave New World,aldous_huxley huxley published huxley aldous huxley dystopian novel brave new
gabriel_garcía_márquez gregory_rabassa,one_hundred_years_of_solitude,https://images.gr-assets.com/books/1327881361l/320.jpg,Gabriel García Márquez|Gregory Rabassa,One Hundred Years of Solitude,gabriel_garcía_márquez gregory_rabassa story buendia buendia family magical realism novel buendia
antoine_de_saint-exupéry richard_howard dom_marcos_barbosa melina_karakosta,the_little_prince,https://images.gr-assets.com/books/1367545443l/157993.jpg,Antoine de Saint-Exupéry|Richard Howard|Dom Marcos Barbosa|Melina Karakosta,The Little Prince,antoine_de_saint-exupéry richard_howard dom_marcos_barbosa melina_karakosta prince translated autobiography little translated book little prince book french
william_goldman,the_princess_bride,https://images.gr-assets.com/books/1327903636l/21787.jpg,William Goldman,The Princess Bride,william_goldman handsomest prince princess bride marries handsomest classic princess world marries
frances_hodgson_burnett,the_secret_garden,https://images.gr-assets.com/books/1327873635l/2998.jpg,Frances Hodgson Burnett,The Secret Garden,frances_hodgson_burnett children literature literature secret secret garden mary discovers victorian author
j.d._salinger,the_catcher_in_the_rye,https://images.gr-assets.com/books/1398034300l/5107.jpg,J.D. Salinger,The Catcher in the Rye,j.d._salinger catcher rye voices holden holden caulfield holden holden voice
khaled_hosseini,a_thousand_splendid_suns,https://images.gr-assets.com/books/1345958969l/128029.jpg,Khaled Hosseini,A Thousand Splendid Suns,khaled_hosseini thousand splendid afghan history decades afghan splendid suns novel
madeleine_l'engle,a_wrinkle_in_time,https://images.gr-assets.com/books/1329061522l/18131.jpg,Madeleine L'Engle,A Wrinkle in Time,madeleine_l'engle night meg tesseract meg come meg time travel meg murry
george_r.r._martin,a_game_of_thrones,https://images.gr-assets.com/books/1436732693l/13496.jpg,George R.R. Martin,A Game of Thrones,george_r.r._martin thrones game thrones starks winterfell winterfell sinister thrones source
rick_riordan,the_lightning_thief,https://images.gr-assets.com/books/1400602609l/28187.jpg,Rick Riordan,The Lightning Thief,rick_riordan percy percy sets percy camp kill percy percy mom
mark_twain guy_cardwell john_seelye,the_adventures_of_huckleberry_finn,https://images.gr-assets.com/books/1405973850l/2956.jpg,Mark Twain|Guy Cardwell|John Seelye,The Adventures of Huckleberry Finn,mark_twain guy_cardwell john_seelye tom sawyer sawyer aunt sawyer boy mississippi nineteenth century
alice_sebold,the_lovely_bones,https://images.gr-assets.com/books/1457810586l/12232938.jpg,Alice Sebold,The Lovely Bones,alice_sebold bones story lovely bones alice sebold novelist alice murder recounted
maurice_sendak,where_the_wild_things_are,https://images.gr-assets.com/books/1384434560l/19543.jpg,Maurice Sendak,Where the Wild Things Are,maurice_sendak night max max tames king wild wild things tames wild
dr._seuss,green_eggs_and_ham,https://images.gr-assets.com/books/1468680100l/23772.jpg,Dr. Seuss,Green Eggs and Ham,dr._seuss green eggs eggs ham seuss beginner dr seuss seuss house
j.k._rowling mary_grandpré,harry_potter_and_the_sorcerer's_stone,https://images.gr-assets.com/books/1474154022l/3.jpg,J.K. Rowling|Mary GrandPré,Harry Potter and the Sorcerer's Stone,j.k._rowling mary_grandpré potter life kill harry harry harry finally harry harry
yann_martel,life_of_pi,https://images.gr-assets.com/books/1320562005l/4214.jpg,Yann Martel,Life of Pi,yann_martel protagonist piscine piscine pi fantasy piscine molitor life pi
charles_dickens richard_maxwell hablot_knight_browne,a_tale_of_two_cities,https://images.gr-assets.com/books/1344922523l/1953.jpg,Charles Dickens|Richard Maxwell|Hablot Knight Browne,A Tale of Two Cities,charles_dickens richard_maxwell hablot_knight_browne dickens dickens vision scope dickens prisoner bastille la guillotine
s.e._hinton,the_outsiders,https://images.gr-assets.com/books/1442129426l/231804.jpg,S.E. Hinton,The Outsiders,s.e._hinton cover outsiders ponyboy greaser soc greaser outsiders greasers socs
sara_gruen,water_for_elephants,https://images.gr-assets.com/books/1494428973l/43641.jpg,Sara Gruen,Water for Elephants,sara_gruen compelling novel author riding novel star star equestrian bestselling author
homer robert_fagles bernard_knox,the_odyssey,https://images.gr-assets.com/books/1390173285l/1381.jpg,Homer|Robert Fagles|Bernard Knox,The Odyssey,homer robert_fagles bernard_knox odyssey literature poetry homer epic odyssey iliad odyssey read
vladimir_nabokov craig_raine,lolita,https://images.gr-assets.com/books/1377756377l/7604.jpg,Vladimir Nabokov|Craig Raine,Lolita,vladimir_nabokov craig_raine lolita humbert love lolita lolita haze lolita play lolita
kurt_vonnegut,slaughterhouse-five,https://images.gr-assets.com/books/1440319389l/4981.jpg,Kurt Vonnegut,Slaughterhouse-Five,kurt_vonnegut time slaughterhouse best novels pilgrim odyssey novels time slaughterhouse american
joseph_heller,catch-22,https://images.gr-assets.com/books/1463157317l/168668.jpg,Joseph Heller,Catch-22,joseph_heller yossarian airmen novel italy novel novel set yossarian army
mary_wollstonecraft_shelley percy_bysshe_shelley maurice_hindle,frankenstein,https://images.gr-assets.com/books/1381512375l/18490.jpg,Mary Wollstonecraft Shelley|Percy Bysshe Shelley|Maurice Hindle,Frankenstein,mary_wollstonecraft_shelley percy_bysshe_shelley maurice_hindle writing frankenstein frankenstein frankenstein science frankenstein frankenstein frankenstein tells
khaled_hosseini,the_kite_runner,https://images.gr-assets.com/books/1484565687l/77203.jpg,Khaled Hosseini,The Kite Runner,khaled_hosseini servant kite amir journeys kite runner powerful novel kite
ken_follett,the_pillars_of_the_earth,https://images.gr-assets.com/books/1388193707l/5043.jpg,Ken Follett,The Pillars of the Earth,ken_follett cathedral follett gothic cathedral cathedral world castles monasteries twelfth century
stephen_king bernie_wrightson,the_stand,https://images.gr-assets.com/books/1213131305l/149267.jpg,Stephen King|Bernie Wrightson,The Stand,stephen_king bernie_wrightson panicky survivors survivors death bleak world ends survivors choose
lois_lowry,the_giver,https://images.gr-assets.com/books/1342493368l/3636.jpg,Lois Lowry,The Giver,lois_lowry jonas lives old jonas jonas secrets fragile year old
richard__adams,watership_down,https://images.gr-assets.com/books/1405136931l/76620.jpg,Richard  Adams,Watership Down,richard__adams librarian note tale adventure adventure courage librarian adventure
margaret_atwood,the_handmaid's_tale,https://images.gr-assets.com/books/1498057733l/38447.jpg,Margaret Atwood,The Handmaid's Tale,margaret_atwood offred handmaid offred handmaids handmaid handmaids handmaid republic
arthur_conan_doyle,the_adventures_of_sherlock_holmes,https://images.gr-assets.com/books/1164045516l/3590.jpg,Arthur Conan Doyle,The Adventures of Sherlock Holmes,arthur_conan_doyle sherlock holmes adventures sherlock sherlock holmes scourge truth sherlock
